signal_day,eval_day,ticker,ratio,verdict,candle_pos,gap_%,entry,outcome,gross_%,net_%,bucket,intraday_signal
2026-05-19,2026-05-20,GIPR,1963.1,강한매수,전고점돌파,-19.1,0.3469,open,15.71,13.21,05:30,정보부족
2026-05-19,2026-05-20,GIPR,1963.1,강한매수,전고점돌파,-19.1,0.3485,open,15.18,12.68,06:00,중립
2026-05-19,2026-05-20,GIPR,1963.1,강한매수,전고점돌파,-19.1,0.3446,open,16.48,13.98,06:30,중립
2026-05-19,2026-05-20,GIPR,1963.1,강한매수,전고점돌파,-19.1,0.3915,open,2.53,0.03,07:00,매수관심
2026-05-19,2026-05-20,GIPR,1963.1,강한매수,전고점돌파,-19.1,0.4182,open,-4.02,-6.52,07:30,중립
2026-05-19,2026-05-20,GIPR,1963.1,강한매수,전고점돌파,-19.1,0.3885,open,3.32,0.82,08:00,중립
2026-05-19,2026-05-20,GIPR,1963.1,강한매수,전고점돌파,-19.1,0.391,open,2.66,0.16,08:30,매도주의
2026-05-19,2026-05-20,GIPR,1963.1,강한매수,전고점돌파,-19.1,0.3845,open,4.4,1.9,09:00,중립
2026-05-19,2026-05-20,AMST,1528.1,매도주의,전고점돌파,-15.6,1.46,open,11.64,9.14,05:30,정보부족
2026-05-19,2026-05-20,AMST,1528.1,매도주의,전고점돌파,-15.6,1.47,open,10.88,8.38,06:00,중립
2026-05-19,2026-05-20,AMST,1528.1,매도주의,전고점돌파,-15.6,1.48,open,10.14,7.64,06:30,매수관심
2026-05-19,2026-05-20,AMST,1528.1,매도주의,전고점돌파,-15.6,1.4897,open,9.42,6.92,07:00,중립
2026-05-19,2026-05-20,AMST,1528.1,매도주의,전고점돌파,-15.6,1.53,open,6.54,4.04,07:30,매수관심
2026-05-19,2026-05-20,AMST,1528.1,매도주의,전고점돌파,-15.6,1.5,open,8.67,6.17,08:00,중립
2026-05-19,2026-05-20,AMST,1528.1,매도주의,전고점돌파,-15.6,1.48,open,10.14,7.64,08:30,중립
